subfield_id,subfield_name,field_id,field_name,window,min_citations,work_count
https://openalex.org/subfields/3312,Sociology and Political Science,https://openalex.org/fields/33,Social Sciences,2018_2020,cit5,179282
https://openalex.org/subfields/3106,Nuclear and High Energy Physics,https://openalex.org/fields/31,Physics and Astronomy,2018_2020,cit5,38796
https://openalex.org/subfields/1110,Plant Science,https://openalex.org/fields/11,Agricultural and Biological Sciences,2018_2020,cit5,142232
https://openalex.org/subfields/2208,Electrical and Electronic Engineering,https://openalex.org/fields/22,Engineering,2018_2020,cit5,290681
https://openalex.org/subfields/1312,Molecular Biology,https://openalex.org/fields/13,"Biochemistry, Genetics and Molecular Biology",2018_2020,cit5,308580
https://openalex.org/subfields/1702,Artificial Intelligence,https://openalex.org/fields/17,Computer Science,2018_2020,cit5,151305
https://openalex.org/subfields/3320,Political Science and International Relations,https://openalex.org/fields/33,Social Sciences,2018_2020,cit5,65981
https://openalex.org/subfields/2002,Economics and Econometrics,https://openalex.org/fields/20,"Economics, Econometrics and Finance",2018_2020,cit5,84724
https://openalex.org/subfields/3304,Education,https://openalex.org/fields/33,Social Sciences,2018_2020,cit5,111451
https://openalex.org/subfields/2202,Aerospace Engineering,https://openalex.org/fields/22,Engineering,2018_2020,cit5,68505
https://openalex.org/subfields/2746,Surgery,https://openalex.org/fields/27,Medicine,2018_2020,cit5,152198
https://openalex.org/subfields/2505,Materials Chemistry,https://openalex.org/fields/25,Materials Science,2018_2020,cit5,200715
https://openalex.org/subfields/1202,History,https://openalex.org/fields/12,Arts and Humanities,2018_2020,cit5,7726
https://openalex.org/subfields/3103,Astronomy and Astrophysics,https://openalex.org/fields/31,Physics and Astronomy,2018_2020,cit5,62191
https://openalex.org/subfields/2204,Biomedical Engineering,https://openalex.org/fields/22,Engineering,2018_2020,cit5,185814
https://openalex.org/subfields/3600,General Health Professions,https://openalex.org/fields/36,Health Professions,2018_2020,cit5,78353
https://openalex.org/subfields/3107,"Atomic and Molecular Physics, and Optics",https://openalex.org/fields/31,Physics and Astronomy,2018_2020,cit5,69240
https://openalex.org/subfields/1211,Philosophy,https://openalex.org/fields/12,Arts and Humanities,2018_2020,cit5,16037
https://openalex.org/subfields/2210,Mechanical Engineering,https://openalex.org/fields/22,Engineering,2018_2020,cit5,137946
